Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000126000.1	18	2	17	2	9	0	5	13
ENSMUSG00000025935.11	1499	3609	2617	2375	7761	965	2618	2710
ENSMUSG00000120948.2	2	18	6	4	5	2	4	2
ENSMUSG00000131318.1	5	2	8	5	0	0	1	5
ENSMUSG00000025937.7	202	444	235	187	668	69	221	405
ENSMUSG00000102982.2	14	19	31	16	10	8	24	44
ENSMUSG00000067813.4	31	9	70	19	36	7	12	68
ENSMUSG00000077368.3	0	2	1	0	0	0	0	1
ENSMUSG00000097711.2	6	15	4	11	5	1	9	32
ENSMUSG00000134219.1	53	55	63	28	17	17	25	77
ENSMUSG00000102166.2	13	26	23	17	6	0	4	52
ENSMUSG00002075174.1	1	10	3	0	0	0	1	9
ENSMUSG00000104209.2	35	8	30	10	6	2	8	15
ENSMUSG00000025932.15	100	296	210	133	202	33	177	283
ENSMUSG00002075819.1	0	0	0	0	0	0	0	1
ENSMUSG00000102588.2	4	5	2	7	5	0	1	12
ENSMUSG00000127312.1	9	6	26	9	8	1	4	39
ENSMUSG00000127278.1	21	24	28	8	13	4	11	49
ENSMUSG00000140763.1	9	6	9	3	6	0	4	18
ENSMUSG00000140464.1	7	7	11	0	3	1	8	25
ENSMUSG00000134469.1	0	0	9	0	0	0	3	7
ENSMUSG00000054493.4	43	63	74	24	17	2	22	55
ENSMUSG00000025930.7	23	32	11	4	31	4	1	21
ENSMUSG00000103492.2	47	46	75	15	12	13	21	105
ENSMUSG00000081201.2	1	0	7	0	3	0	7	5
ENSMUSG00000082193.2	8	28	10	3	9	3	7	23
ENSMUSG00000032769.6	49	96	72	16	100	10	31	111
ENSMUSG00000088159.3	0	1	2	0	0	0	1	1
ENSMUSG00000125466.1	26	18	16	7	6	1	11	25
ENSMUSG00000073737.4	3	16	10	12	13	0	2	11
ENSMUSG00000092083.5	164	129	396	86	100	32	98	325
ENSMUSG00000128216.1	4	13	5	0	0	1	1	14
ENSMUSG00000102937.2	12	35	13	12	12	0	7	26
ENSMUSG00000104149.2	45	36	61	14	16	3	12	40
ENSMUSG00000137925.1	22	18	62	11	19	5	9	55
ENSMUSG00000088829.3	5	0	7	0	0	0	0	2
ENSMUSG00000132707.1	7	0	5	0	4	0	0	2
ENSMUSG00000077377.3	4	0	1	0	0	0	0	0
ENSMUSG00000101652.2	1	5	0	1	2	2	4	6
ENSMUSG00000100814.2	4	0	0	0	1	0	0	3
ENSMUSG00000132745.1	33	7	32	12	10	2	4	27
ENSMUSG00000132786.1	11	2	7	4	3	0	1	19
ENSMUSG00000025925.15	187	437	258	261	651	54	202	317
ENSMUSG00000104379.2	7	16	0	4	4	2	2	12
ENSMUSG00000032719.5	3	49	2	0	1	0	4	8
ENSMUSG00002076565.1	2	4	12	0	4	0	0	12
ENSMUSG00000137819.1	2	3	10	6	1	1	0	6
ENSMUSG00000100652.2	4	4	15	2	8	0	4	20
ENSMUSG00000067795.14	15	7	14	7	9	2	10	22
ENSMUSG00000136711.1	14	13	3	10	0	0	3	5
ENSMUSG00000043716.14	657	2310	889	1323	3435	435	1287	1352
ENSMUSG00000025921.8	103	201	180	162	269	55	106	180
ENSMUSG00000132226.1	9	1	17	4	4	0	6	19
ENSMUSG00000104165.2	27	20	18	24	8	2	0	21
ENSMUSG00000100868.2	8	9	17	8	3	0	0	2
ENSMUSG00000025920.20	173	382	199	140	397	44	248	348
ENSMUSG00000089982.9	12	14	29	6	11	5	4	16
ENSMUSG00000025939.20	193	361	261	351	741	115	321	365
ENSMUSG00000102457.2	0	10	25	8	14	5	3	18
