Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000096375.3	0	0	0	0	0	0	0	0
ENSMUSG00000121505.2	19	24	38	15	24	4	9	37
ENSMUSG00000025936.18	0	0	0	0	0	0	0	0
ENSMUSG00000141880.1	0	3	4	0	1	1	0	6
ENSMUSG00000093963.2	2	1	0	0	0	0	0	2
ENSMUSG00000141838.1	1	3	2	0	0	2	0	0
ENSMUSG00000067750.4	1	0	3	6	7	0	0	5
ENSMUSG00000086194.2	1	2	2	0	0	0	0	3
ENSMUSG00000141922.1	1	0	6	3	6	0	1	6
ENSMUSG00000094436.2	0	0	0	0	0	0	0	0
ENSMUSG00000041722.8	0	0	0	2	1	0	0	0
ENSMUSG00000085507.2	0	1	7	0	0	0	1	0
ENSMUSG00000094926.2	0	0	2	0	0	0	0	5
ENSMUSG00000085079.4	6	6	10	1	3	0	1	3
ENSMUSG00000129191.1	10	8	17	0	0	0	0	10
ENSMUSG00000085679.3	0	0	0	0	0	0	0	0
ENSMUSG00000028033.17	41	56	64	34	64	10	29	79
ENSMUSG00000104138.2	13	21	10	7	7	1	5	46
ENSMUSG00000128794.1	2	0	8	0	0	0	2	2
ENSMUSG00000082935.4	7	3	11	2	1	2	2	6
ENSMUSG00000103748.2	24	27	30	3	15	3	12	35
ENSMUSG00000124418.1	2	8	10	4	21	4	14	18
ENSMUSG00000123368.1	4	7	6	8	5	2	7	20
ENSMUSG00000099692.2	5	5	3	1	5	0	4	10
ENSMUSG00000140384.1	2	0	0	2	0	1	3	5
ENSMUSG00000124412.1	5	0	4	0	0	1	0	5
ENSMUSG00000100418.2	10	5	11	0	1	0	0	10
ENSMUSG00000128972.1	1	16	7	7	2	2	0	4
ENSMUSG00000135509.1	1	2	4	0	0	0	0	11
ENSMUSG00000041670.20	49	49	68	28	23	9	21	85
ENSMUSG00000097642.2	2	4	6	3	3	0	4	5
ENSMUSG00000131366.1	0	1	1	1	0	0	3	1
ENSMUSG00000141541.1	4	2	0	0	1	0	1	4
ENSMUSG00000128277.1	3	2	0	0	0	0	0	0
ENSMUSG00000101468.2	0	8	5	0	2	0	1	4
ENSMUSG00000101227.3	15	25	21	6	4	0	4	34
ENSMUSG00000073730.3	2	7	0	2	1	10	0	16
ENSMUSG00000141721.1	11	5	16	1	3	0	5	16
ENSMUSG00000141755.1	13	2	3	0	1	1	0	4
ENSMUSG00000089553.3	1	1	0	2	0	0	0	2
ENSMUSG00000102766.2	0	1	6	5	0	1	0	0
ENSMUSG00000134304.1	55	82	78	24	61	10	41	113
ENSMUSG00000065405.5	0	0	0	0	1	0	0	0
