Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000102121.2	6	11	20	2	3	1	3	9
ENSMUSG00000088858.3	0	0	4	0	0	0	0	2
ENSMUSG00000097934.3	1	1	6	4	0	0	0	15
ENSMUSG00000025931.16	34	44	29	18	45	17	24	54
ENSMUSG00000077314.3	3	0	0	0	0	0	0	0
ENSMUSG00000133875.1	3	0	0	3	0	0	2	2
ENSMUSG00000100929.2	1	0	3	0	0	1	0	1
ENSMUSG00000041809.6	10	41	28	13	16	4	13	24
ENSMUSG00000041779.6	107	173	197	224	315	82	216	131
ENSMUSG00000137435.1	2	2	6	5	0	0	1	2
ENSMUSG00000099971.2	0	0	2	0	0	0	0	2
ENSMUSG00000129840.1	8	4	2	1	0	0	0	7
ENSMUSG00000100819.2	0	0	3	0	0	0	0	0
ENSMUSG00000129885.1	8	6	15	3	4	0	5	32
ENSMUSG00000099343.3	8	8	2	4	4	0	0	2
ENSMUSG00000025933.16	9	18	15	13	37	4	10	12
ENSMUSG00000102633.2	4	2	5	6	7	2	2	17
ENSMUSG00000025934.16	16	23	17	8	15	5	6	33
ENSMUSG00000138037.1	0	0	0	0	0	0	0	0
ENSMUSG00000096375.3	0	0	0	0	0	0	0	0
ENSMUSG00000121505.2	19	24	36	14	24	4	9	37
ENSMUSG00000025936.18	0	0	0	0	0	0	0	0
ENSMUSG00000141880.1	0	3	4	0	1	1	0	6
ENSMUSG00000093963.2	2	1	0	0	0	0	0	2
ENSMUSG00000141838.1	1	3	2	0	0	2	0	0
ENSMUSG00000067750.4	1	0	2	6	7	0	0	5
ENSMUSG00000086194.2	1	2	2	0	0	0	0	3
ENSMUSG00000141922.1	1	0	6	3	6	0	1	6
ENSMUSG00000094436.2	0	0	0	0	0	0	0	0
ENSMUSG00000041722.8	0	0	0	1	1	0	0	0
ENSMUSG00000085507.2	0	1	7	0	0	0	1	0
ENSMUSG00000094926.2	0	0	2	0	0	0	0	5
ENSMUSG00000085079.4	6	6	10	1	3	0	1	3
ENSMUSG00000129191.1	10	8	17	0	0	0	0	10
ENSMUSG00000085679.3	0	0	0	0	0	0	0	0
ENSMUSG00000028033.17	40	53	64	34	64	10	29	79
ENSMUSG00000104138.2	13	20	10	7	7	1	5	46
ENSMUSG00000128794.1	2	0	8	0	0	0	2	2
ENSMUSG00000082935.4	41	53	33	26	80	11	51	50
ENSMUSG00000103748.2	23	27	28	3	15	3	12	35
ENSMUSG00000124418.1	2	8	10	4	21	4	14	17
ENSMUSG00000123368.1	4	7	6	8	6	2	7	20
ENSMUSG00000099692.2	5	5	3	1	5	0	4	10
ENSMUSG00000140384.1	2	0	0	2	0	1	3	5
ENSMUSG00000124412.1	5	0	4	0	0	1	0	5
ENSMUSG00000100418.2	10	5	11	0	1	0	0	10
ENSMUSG00000128972.1	1	16	7	7	2	2	0	4
ENSMUSG00000135509.1	1	2	4	0	0	0	0	11
ENSMUSG00000041670.20	49	49	67	27	23	9	22	85
ENSMUSG00000097642.2	2	4	6	3	3	0	4	5
ENSMUSG00000131366.1	0	1	1	1	0	0	3	1
ENSMUSG00000141541.1	4	2	0	0	1	0	1	4
ENSMUSG00000128277.1	3	2	0	0	0	0	0	0
ENSMUSG00000101468.2	0	8	5	0	2	0	1	4
ENSMUSG00000101227.3	15	25	21	6	4	0	4	34
ENSMUSG00000073730.3	2	7	0	2	1	10	0	16
ENSMUSG00000141721.1	11	4	15	1	3	0	5	16
ENSMUSG00000141755.1	13	1	3	0	1	1	0	4
ENSMUSG00000089553.3	1	1	0	2	0	0	0	1
ENSMUSG00000102766.2	0	1	6	5	0	1	0	0
ENSMUSG00000134304.1	55	82	78	24	59	10	40	112
ENSMUSG00000065405.5	0	0	0	0	1	0	0	0
ENSMUSG00000097970.2	1	6	0	0	1	0	2	6
ENSMUSG00000065567.3	0	0	0	0	0	0	0	0
ENSMUSG00000100775.2	1	2	0	0	1	0	0	0
ENSMUSG00000133147.1	0	3	0	0	0	0	0	0
ENSMUSG00000101226.2	4	0	2	1	2	1	5	11
ENSMUSG00000026158.12	217	568	262	282	1147	90	291	426
ENSMUSG00000138593.1	14	5	16	4	3	0	3	17
ENSMUSG00000097920.2	4	4	8	5	3	1	3	12
ENSMUSG00000099503.3	21	16	19	0	4	0	4	16
ENSMUSG00000142633.1	0	0	4	0	2	0	0	2
ENSMUSG00000026156.9	17	20	26	30	25	2	20	59
ENSMUSG00000026155.14	112	199	133	101	314	40	151	160
ENSMUSG00000141937.1	0	4	3	0	1	0	0	3
ENSMUSG00000141893.1	4	6	8	0	0	0	5	8
ENSMUSG00000026154.5	27	38	14	22	65	12	39	38
ENSMUSG00000102495.2	7	3	0	4	2	0	3	6
ENSMUSG00000026153.16	86	157	154	69	101	23	90	185
ENSMUSG00000143955.1	0	0	0	0	0	0	0	0
ENSMUSG00000102398.2	10	7	17	2	4	1	2	10
ENSMUSG00000122847.1	11	21	34	6	14	1	7	14
ENSMUSG00000097670.2	6	13	24	5	3	0	7	11
ENSMUSG00000026147.17	46	37	41	20	13	45	11	51
ENSMUSG00000026141.14	75	35	56	26	51	9	18	112
ENSMUSG00000125396.1	2	17	17	4	3	1	5	14
ENSMUSG00000125434.1	5	7	6	0	2	0	4	0
ENSMUSG00000077463.3	0	0	2	1	1	0	0	0
ENSMUSG00000099997.2	16	27	14	18	39	6	15	21
ENSMUSG00000100131.2	1	8	11	3	7	0	6	11
ENSMUSG00000067736.3	2	3	0	2	3	0	1	6
ENSMUSG00000138098.1	0	0	0	0	0	0	0	0
ENSMUSG00000101939.2	0	0	0	0	0	0	0	0
ENSMUSG00000101111.2	9	15	2	13	16	4	11	16
ENSMUSG00000100862.2	7	16	2	7	17	1	11	24
ENSMUSG00000102070.2	5	4	0	6	4	3	8	11
ENSMUSG00000101249.2	14	9	7	5	20	2	20	12
ENSMUSG00000127021.1	2	0	0	1	0	1	2	6
ENSMUSG00000073725.9	228	473	271	196	781	104	308	416
ENSMUSG00000133176.1	1	0	3	0	0	0	0	7
ENSMUSG00000129414.1	2	1	0	1	0	0	0	0
ENSMUSG00000143216.1	1	6	6	8	4	0	4	12
ENSMUSG00000100808.2	2	0	1	1	0	0	1	3
ENSMUSG00000130976.1	6	1	0	4	0	0	5	7
ENSMUSG00000100483.2	1	12	5	5	3	1	1	13
ENSMUSG00000135830.1	0	3	0	2	0	0	0	4
ENSMUSG00000100450.2	1	0	0	5	0	0	0	0
