Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000099498.3	33	13	25	11	11	2	0	30
ENSMUSG00000042414.8	6	11	35	14	2	2	1	50
ENSMUSG00000005886.15	525	586	641	508	1280	132	503	660
ENSMUSG00000103506.2	32	62	32	17	31	10	27	40
ENSMUSG00000103495.2	28	23	50	20	36	5	40	50
ENSMUSG00002076346.1	3	0	0	0	0	1	0	1
ENSMUSG00000102639.2	6	6	0	12	14	2	5	6
ENSMUSG00000104170.2	28	15	10	51	31	3	25	48
ENSMUSG00000134412.1	2	1	0	7	1	0	0	8
ENSMUSG00000087782.3	0	0	0	0	0	0	2	0
ENSMUSG00000103085.2	29	68	83	59	90	19	55	144
ENSMUSG00000102664.2	37	66	43	48	45	15	26	71
ENSMUSG00000134452.1	22	18	12	24	16	4	17	23
ENSMUSG00000101476.3	19	11	19	13	13	2	11	23
ENSMUSG00000134491.1	1	8	4	4	1	2	1	8
ENSMUSG00000122424.1	10	4	13	6	5	1	5	28
ENSMUSG00000101171.2	3	0	0	0	0	0	0	7
ENSMUSG00000126000.1	19	2	17	2	9	0	5	13
ENSMUSG00000025935.11	1584	3619	2628	2372	7661	974	2740	2689
ENSMUSG00000120948.2	4	21	6	4	5	3	3	1
ENSMUSG00000131318.1	5	2	8	8	0	0	1	6
ENSMUSG00000025937.7	216	446	235	184	661	67	229	411
ENSMUSG00000102982.2	19	20	30	15	11	8	30	43
ENSMUSG00000067813.4	31	9	69	19	36	7	12	71
ENSMUSG00000077368.3	0	2	1	0	0	0	0	1
ENSMUSG00000097711.2	6	13	4	11	5	1	8	32
ENSMUSG00000134219.1	55	57	64	28	18	14	28	77
ENSMUSG00000102166.2	13	26	24	15	6	0	4	53
ENSMUSG00002075174.1	1	10	3	0	0	0	1	10
ENSMUSG00000104209.2	33	8	30	10	6	2	8	16
ENSMUSG00000025932.15	103	291	209	134	207	33	178	276
ENSMUSG00002075819.1	0	0	0	0	0	0	0	1
ENSMUSG00000102588.2	4	5	2	7	5	0	1	12
ENSMUSG00000127312.1	8	6	26	9	11	1	4	42
ENSMUSG00000127278.1	23	24	28	8	14	4	11	49
ENSMUSG00000140763.1	9	6	8	3	6	0	4	18
ENSMUSG00000140464.1	7	7	11	0	3	1	8	24
ENSMUSG00000134469.1	0	0	9	0	0	0	3	7
ENSMUSG00000054493.4	48	64	74	23	17	2	22	55
ENSMUSG00000025930.7	35	31	13	4	31	4	6	21
ENSMUSG00000103492.2	44	46	75	15	13	13	22	108
ENSMUSG00000081201.2	1	0	11	0	8	1	7	5
ENSMUSG00000082193.2	11	30	12	3	6	3	4	23
ENSMUSG00000032769.6	51	96	74	20	97	10	31	112
ENSMUSG00000088159.3	0	2	2	0	0	0	1	0
ENSMUSG00000125466.1	26	18	16	6	6	1	11	26
ENSMUSG00000073737.4	3	16	10	16	5	0	0	11
ENSMUSG00000092083.5	177	129	393	87	99	31	108	333
ENSMUSG00000128216.1	8	13	5	0	0	1	1	14
ENSMUSG00000102937.2	19	35	13	12	12	0	6	25
ENSMUSG00000104149.2	45	36	62	14	16	3	13	40
ENSMUSG00000137925.1	28	18	61	11	19	5	10	57
ENSMUSG00000088829.3	5	0	7	0	0	0	0	2
ENSMUSG00000132707.1	8	0	5	0	2	0	0	2
ENSMUSG00000077377.3	4	0	1	0	0	0	0	0
